Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Latitude [deg],Longitude [deg],Altitude [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
69,6378137.38829361,411.050221458286,190.338570207104,0.00172136382238432,0.003692526734858,0.404398249159803,0.0290682890337846,-2.14329803093793,2.21469918464296,2.21469831448116,-2.14329989984369,-0.0289966976100733,0,-0.00153153366315592,-47.0266006810866
70,6378137.35350961,407.317449572274,194.027129857081,0.00175472203755669,0.00365899469661885,0.369486669410502,0.0319939106511771,-2.35398114013911,2.30587268814586,2.30587171183323,-2.35398317851828,-0.031914200705466,0,-0.00131320355725622,-44.1607811295071
71,6378136.72387662,402.2022591712,193.659930666502,0.00175140137450108,0.00361304451883634,-0.260482168146005,0.0055357023899254,-2.1125127717366,2.20302980642258,2.20302964025158,-2.11251311661514,-0.00546982992841605,0,-0.00107684959814302,-41.0706456722076
72,6378135.798153,404.601722425006,198.861247111265,0.00179844075748475,0.00363459979235534,-1.18589289852365,0.105564918530915,-1.83813139856215,2.24964298591557,2.24963967492047,-1.83813809145177,-0.10551892845052,0,-0.000824098380765951,-37.7820069121074
73,6378140.51231968,406.675280619797,199.475301499036,0.00180399273659773,0.00365322418583132,3.52842495121435,0.0826616550677635,-1.53226652514729,2.45536729743864,2.45536469664481,-1.53227179260508,-0.0826412650785272,0,-0.000557668786976915,-34.3314169899277
74,6378136.14009623,401.169519060821,203.386155919734,0.00183936256003817,0.00360376758606167,-0.844022825378251,0.11934238450544,-1.21613924350795,2.42169327799734,2.42168944796453,-1.21614674745309,-0.11934363541288,0,-0.000281336749920417,-30.7654222637282
75,6378136.15896111,402.445757445181,203.986611580762,0.0018447928929637,0.00361523222133742,-0.825058241710646,-0.124301010510638,-1.25323564803819,2.69807240479431,2.69807640814973,-1.25322780243487,0.124293214739665,0,2.71383041861933e-07,-27.1383987574002
76,6378135.90093992,402.734096384269,206.856363628232,0.00187074613409764,0.00361782256078397,-1.08296817643405,-0.100709173525732,-0.931735836174066,2.72202295619079,2.72202624488372,-0.931729475245814,0.100679129889186,0,0.000282046265921425,-23.5091087500038
77,6378140.07170908,400.255586604857,209.674452107781,0.00189623082219825,0.00359555537367528,3.0877375943852,0.0637532811578039,-1.07404504577224,2.8238695763491,2.82386746708838,-1.07404904444862,-0.0637793373685051,0,0.000558862625046265,-19.9364807455737
78,6378139.24609682,398.839656513099,214.462716219593,0.00193953465295603,0.00358283632720102,2.26219691999929,0.147438681488802,-0.752188455656509,2.92597218093038,2.9259671898602,-0.752197673864324,-0.147490692910688,0,0.000826049846043753,-16.4753591881716
